id,category,severity,line,section,matchedText,recommendation
MPSL-F001,Completeness,MAJOR,51,# 1. Abstract,"`STATUS: PENDING`","Replace pending marker with final status or drafted prose."
MPSL-F002,Completeness,MAJOR,69,# 2. Keywords,"`STATUS: PENDING`","Replace pending marker with final status or drafted prose."
MPSL-F003,Completeness,MAJOR,86,# 3. Introduction,"`STATUS: PENDING`","Replace pending marker with final status or drafted prose."
MPSL-F004,Completeness,MAJOR,124,# 4. System description,"`STATUS: PENDING`","Replace pending marker with final status or drafted prose."
MPSL-F005,Completeness,MAJOR,144,# 5. Mathematical model,"`STATUS: PENDING`","Replace pending marker with final status or drafted prose."
MPSL-F006,Completeness,MAJOR,462,# 10. Nomenclature,"`STATUS: PENDING`","Replace pending marker with final status or drafted prose."
MPSL-F007,Completeness,MAJOR,481,# 11. References,"`STATUS: PENDING`","Replace pending marker with final status or drafted prose."
MPSL-F008,Scaffolding,MAJOR,55,# 1. Abstract,"Expected content:","Convert expected-content scaffold into manuscript prose or remove it after drafting."
MPSL-F009,Scaffolding,MAJOR,126,# 4. System description,"Expected content:","Convert expected-content scaffold into manuscript prose or remove it after drafting."
MPSL-F010,Scaffolding,MAJOR,146,# 5. Mathematical model,"Expected content:","Convert expected-content scaffold into manuscript prose or remove it after drafting."
MPSL-F011,Scaffolding,MAJOR,189,# 6. Optimization methodology,"Expected content:","Convert expected-content scaffold into manuscript prose or remove it after drafting."
MPSL-F012,Scaffolding,MAJOR,136,# 4. System description,"Expected figure:","Replace expected-figure scaffold with figure callout/caption or remove if not used."
MPSL-F013,Front matter,MINOR,71,# 2. Keywords,"Candidate keywords:","Convert candidate keyword list into finalized keyword section."
MPSL-F014,References,MAJOR,483,# 11. References,"Required references:","Replace required-reference scaffold with actual references."
MPSL-F015,Style/grammar,MINOR,327,# 7.2 Collector-efficiency sensitivity / ## 7.2.1 Hybrid versus gas-LPG baseline comparison,"For all selected candidates, hybrid operation reduced the auxiliary energy demand relative to the gas-LPG-only case while maintaining the final moisture ratio below the feasibility threshold. The reduction in auxiliary e...","Rewrite the local sentence to remove duplicated transition."
MPSL-F016,Redundancy,MINOR,60,# 1. Abstract,"- Seed-aware computed nondominated set.","Check whether repetition is justified; consolidate wording if it reads redundant."
MPSL-F017,Redundancy,MINOR,118,# 3.5 Scope and limitation,"The work reports a computed nondominated set from a controlled seed-aware formal run. It does not claim global optimality or statistical robustness across multiple independent seeds.","Check whether repetition is justified; consolidate wording if it reads redundant."
MPSL-F018,Redundancy,MINOR,259,# 7.1 Formal tri-objective run / ## Formal tri-objective run,"The formal seed-aware tri-objective run generated a computed nondominated set that represents the trade-off between final moisture ratio, auxiliary energy demand, and the economic/environmental indicators associated with...","Check whether repetition is justified; consolidate wording if it reads redundant."
MPSL-F019,Redundancy,MINOR,296,# 7.2 Collector-efficiency sensitivity / ## Tri-objective optimization results and collector-efficiency sensitivity,"The seed-aware formal tri-objective run produced a computed nondominated set that captured the expected trade-off between final moisture ratio, auxiliary energy demand, and the associated economic/environmental indicator...","Check whether repetition is justified; consolidate wording if it reads redundant."
MPSL-F020,Redundancy,MINOR,404,# 7.4 Methodological implications / ## Methodological implications,"The results have several methodological implications for the interpretation of the optimization framework. First, the selected operating condition should be understood as a model-based recommendation derived from a contr...","Check whether repetition is justified; consolidate wording if it reads redundant."
MPSL-F021,Redundancy,MINOR,418,# 7.4 Methodological implications / ## 7.5 Discussion,"The formal R1 optimization and the subsequent sensitivity and baseline analyses indicate that the most relevant operating region is not defined by a single extreme drying condition, but by a trade-off between final moist...","Check whether repetition is justified; consolidate wording if it reads redundant."
MPSL-F022,Redundancy,MINOR,433,# 8. Limitations,"Several limitations must be considered when interpreting the optimization and baseline-comparison results. First, the formal multiobjective analysis was based on a single controlled seed-aware R1 execution of MATLAB's `g...","Check whether repetition is justified; consolidate wording if it reads redundant."
MPSL-F023,Redundancy,MINOR,450,# 9. Conclusions,"Within the computed nondominated set, R1_solution_7 emerged as the main energy-conservative feasible candidate, whereas R1_solution_3 provided a balanced alternative between drying intensity and energy use. R1_solution_9...","Check whether repetition is justified; consolidate wording if it reads redundant."
MPSL-F024,Redundancy,MINOR,532,# Restrictions,"- Use “computed nondominated set” instead of “complete Pareto-front characterization”.","Check whether repetition is justified; consolidate wording if it reads redundant."
MPSL-F025,Redundancy,MINOR,539,# Restrictions / ### Reproducibility configuration of the formal multiobjective run,"The formal multiobjective optimization run used to generate the selected candidate solutions was configured as a controlled seed-aware execution of MATLAB's `gamultiobj` algorithm. The run, identified as R1, used a fixed...","Check whether repetition is justified; consolidate wording if it reads redundant."
MPSL-F026,Tables,MINOR,227,# 6.4 Seed-aware formal run,"`TABLE_01_GA_configuration`","Confirm whether table is embedded, cited, or still only referenced by filename."
MPSL-F027,Tables,MINOR,247,# 7.1 Formal tri-objective run,"- `MANUSCRIPT_TABLE_R1_ETA_2SAH_v96z.md`","Confirm whether table is embedded, cited, or still only referenced by filename."
MPSL-F028,Tables,MINOR,248,# 7.1 Formal tri-objective run,"- `SUPP_TABLE_ETA_SENSITIVITY_v96z.md`","Confirm whether table is embedded, cited, or still only referenced by filename."
MPSL-F029,Tables,MINOR,285,# 7.2 Collector-efficiency sensitivity,"- `MANUSCRIPT_TABLE_R1_ETA_2SAH_v96z.md`","Confirm whether table is embedded, cited, or still only referenced by filename."
MPSL-F030,Tables,MINOR,286,# 7.2 Collector-efficiency sensitivity,"- `SUPP_TABLE_ETA_SENSITIVITY_v96z.md`","Confirm whether table is embedded, cited, or still only referenced by filename."
MPSL-F031,Tables,MINOR,350,# 7.3 Operational interpretation,"- `MANUSCRIPT_TABLE_R1_ETA_2SAH_v96z.md`","Confirm whether table is embedded, cited, or still only referenced by filename."
MPSL-F032,Tables,MINOR,351,# 7.3 Operational interpretation,"- `SUPP_TABLE_ETA_SENSITIVITY_v96z.md`","Confirm whether table is embedded, cited, or still only referenced by filename."
MPSL-F033,Tables,MINOR,392,# 7.4 Methodological implications,"- `MANUSCRIPT_TABLE_R1_ETA_2SAH_v96z.md`","Confirm whether table is embedded, cited, or still only referenced by filename."
MPSL-F034,Tables,MINOR,393,# 7.4 Methodological implications,"- `SUPP_TABLE_ETA_SENSITIVITY_v96z.md`","Confirm whether table is embedded, cited, or still only referenced by filename."
MPSL-F035,Tables,MINOR,499,# 12. Supplementary material,"- `SUPP_TABLE_ETA_SENSITIVITY_v96z.md`","Confirm whether table is embedded, cited, or still only referenced by filename."
MPSL-F036,Tables,MINOR,523,# Approved tables,"| `MANUSCRIPT_TABLE_R1_ETA_2SAH_v96z.md` | Approved | Main Results table |","Confirm whether table is embedded, cited, or still only referenced by filename."
MPSL-F037,Tables,MINOR,524,# Approved tables,"| `SUPP_TABLE_ETA_SENSITIVITY_v96z.md` | Approved | Supplementary sensitivity table |","Confirm whether table is embedded, cited, or still only referenced by filename."
MPSL-F038,Figures,MAJOR,138,# 4. System description,"`FIG_01_system_schematic`","Replace figure placeholder with actual figure callout/caption plan."
MPSL-F039,Completeness,MAJOR,439,# 8. Limitations,"Fourth, economic and CO2 indicators depend on external factors such as fuel price, electricity tariff, emission factor, source year, region, unit basis, and conversion assumptions. The provisional CO2 factors `EF_LPG_kgC...","Resolve or remove this placeholder before pre-submission."
MPSL-F040,Completeness,MAJOR,550,# Restrictions / ### Traceability of economic and CO2 factors,"For code validation and internal traceability control, the provisional CO2 factors `EF_LPG_kgCO2_per_kWh = 0.2270` and `EF_grid_kgCO2_per_kWh = 0.4380` were retained under the tag `PROVISIONAL_FOR_CODE_VALIDATION`. These...","Resolve or remove this placeholder before pre-submission."
MPSL-F041,Completeness,MAJOR,51,# 1. Abstract,"`STATUS: PENDING`","Resolve or remove this placeholder before pre-submission."
MPSL-F042,Completeness,MAJOR,69,# 2. Keywords,"`STATUS: PENDING`","Resolve or remove this placeholder before pre-submission."
MPSL-F043,Completeness,MAJOR,86,# 3. Introduction,"`STATUS: PENDING`","Resolve or remove this placeholder before pre-submission."
MPSL-F044,Completeness,MAJOR,124,# 4. System description,"`STATUS: PENDING`","Resolve or remove this placeholder before pre-submission."
MPSL-F045,Completeness,MAJOR,144,# 5. Mathematical model,"`STATUS: PENDING`","Resolve or remove this placeholder before pre-submission."
MPSL-F046,Completeness,MAJOR,187,# 6. Optimization methodology,"`STATUS: PARTIAL`","Resolve or remove this placeholder before pre-submission."
MPSL-F047,Completeness,MAJOR,233,# 7. Results and discussion,"`STATUS: PARTIAL`","Resolve or remove this placeholder before pre-submission."
MPSL-F048,Completeness,MAJOR,462,# 10. Nomenclature,"`STATUS: PENDING`","Resolve or remove this placeholder before pre-submission."
MPSL-F049,Completeness,MAJOR,481,# 11. References,"`STATUS: PENDING`","Resolve or remove this placeholder before pre-submission."
MPSL-F050,Completeness,MAJOR,495,# 12. Supplementary material,"`STATUS: PARTIAL`","Resolve or remove this placeholder before pre-submission."
MPSL-F051,Scaffolding,MAJOR,55,# 1. Abstract,"Expected content:","Resolve or remove this placeholder before pre-submission."
MPSL-F052,Scaffolding,MAJOR,88,# 3. Introduction,"Expected structure:","Resolve or remove this placeholder before pre-submission."
MPSL-F053,Scaffolding,MAJOR,126,# 4. System description,"Expected content:","Resolve or remove this placeholder before pre-submission."
MPSL-F054,Scaffolding,MAJOR,136,# 4. System description,"Expected figure:","Resolve or remove this placeholder before pre-submission."
MPSL-F055,Scaffolding,MAJOR,146,# 5. Mathematical model,"Expected content:","Resolve or remove this placeholder before pre-submission."
MPSL-F056,Scaffolding,MAJOR,189,# 6. Optimization methodology,"Expected content:","Resolve or remove this placeholder before pre-submission."
MPSL-F057,Scaffolding,MAJOR,225,# 6.4 Seed-aware formal run,"Expected table:","Resolve or remove this placeholder before pre-submission."
